"Domain","URL","Branch","Agency","Redirect","Participates in DAP?"
"9-11commission.gov","https://9-11commission.gov","executive","National Archives and Records Administration","No","No"
"911.gov","http://www.911.gov","executive","Department of Transportation","No","Yes"
"abandonedmines.gov","http://www.abandonedmines.gov","executive","Department of the Interior","No","No"
"abilityone.gov","http://abilityone.gov","executive","Comm for People Who Are Blind/Severly Disabled","No","No"
"abmc.gov","https://abmc.gov","executive","American Battle Monuments Commission","No","Yes"
"access-board.gov","https://www.access-board.gov","executive","U. S. Access Board","No","Yes"
"achp.gov","http://achp.gov","executive","Advisory Council on Historic Preservation","No","No"
"acl.gov","http://acl.gov","executive","Department of Health And Human Services","No","No"
"acquisition.gov","https://www.acquisition.gov","executive","General Services Administration","No","Yes"
"acus.gov","https://www.acus.gov","executive","Administrative Conference of the United States","No","No"
"acwi.gov","http://acwi.gov","executive","Department of the Interior","No","Yes"
"ada.gov","https://www.ada.gov","executive","Department of Justice","No","Yes"
"adf.gov","http://adf.gov","executive","African Development Foundation","No","No"
"adlnet.gov","https://www.adlnet.gov","executive","Department of Defense","No","No"
"admongo.gov","https://www.admongo.gov","executive","Federal Trade Commission","No","No"
"adr.gov","https://www.adr.gov","executive","Department of Justice","No","Yes"
"afadvantage.gov","https://afadvantage.gov","executive","General Services Administration","No","Yes"
"aff.gov","http://www.aff.gov","executive","Department of Agriculture","No","No"
"afrh.gov","https://www.afrh.gov","executive","Armed Forces Retirement Home","No","No"
"agingstats.gov","https://agingstats.gov","executive","Department of Health And Human Services","No","No"
"ahrq.gov","http://www.ahrq.gov","executive","Department of Health And Human Services","No","Yes"
"aids.gov","https://www.aids.gov","executive","Department of Health And Human Services","No","Yes"
"airnow.gov","https://airnow.gov","executive","Environmental Protection Agency","No","Yes"
"alaskacenters.gov","http://alaskacenters.gov","executive","Department of the Interior","No","Yes"
"altusandc.gov","http://www.altusandc.gov","executive","Department of Defense","No","Yes"
"ama.gov","https://www.ama.gov","executive","Department of the Treasury","No","No"
"america.gov","https://www.america.gov","executive","Department of State","No","No"
"americathebeautifulquarters.gov","http://www.americathebeautifulquarters.gov","executive","Department of the Treasury","No","No"
"ameslab.gov","https://www.ameslab.gov","executive","Department of Energy","No","No"
"amtrakoig.gov","https://amtrakoig.gov","executive","AMTRAK","No","No"
"anchorit.gov","http://www.anchorit.gov","executive","Consumer Product Safety Commission","No","No"
"anl.gov","http://www.anl.gov","executive","Department of Energy","No","No"
"anstaskforce.gov","http://www.anstaskforce.gov","executive","Department of the Interior","No","No"
"aoa.gov","http://aoa.gov","executive","Department of Health And Human Services","No","No"
"aoc.gov","https://www.aoc.gov","executive","Architect of the Capitol","No","No"
"apps.gov","https://apps.gov","executive","General Services Administration","No","Yes"
"arc.gov","https://arc.gov","executive","Appalachian Regional Commission","No","No"
"archives.gov","https://www.archives.gov","executive","National Archives and Records Administration","No","Yes"
"arctic.gov","https://arctic.gov","executive","National Science Foundation","No","Yes"
"arm.gov","http://www.arm.gov","executive","Department of Energy","No","No"
"ars-grin.gov","http://www.ars-grin.gov","executive","Department of Agriculture","No","No"
"arts.gov","https://www.arts.gov","executive","National Endowment for the Arts","No","No"
"asap.gov","https://www.asap.gov","executive","Department of the Treasury","No","No"
"asc.gov","https://www.asc.gov","executive","Appraisal Subcommittee","No","No"
"atf.gov","https://www.atf.gov","executive","Department of Justice","No","Yes"
"atfonline.gov","http://atfonline.gov","executive","Department of Justice","No","No"
"aviationweather.gov","http://aviationweather.gov","executive","Department of Commerce","No","No"
"banknet.gov","https://www.banknet.gov","executive","Department of the Treasury","No","No"
"bats.gov","https://www.bats.gov","executive","Department of Justice","No","No"
"bbg.gov","https://www.bbg.gov","executive","International Broadcasting Bureau","No","No"
"bea.gov","http://bea.gov","executive","Department of Commerce","No","No"
"benefits.gov","https://www.benefits.gov","executive","Department of Labor","No","Yes"
"bep.gov","http://bep.gov","executive","Department of the Treasury","No","Yes"
"bfem.gov","http://bfem.gov","executive","Department of the Treasury","No","No"
"bia.gov","http://bia.gov","executive","Department of the Interior","No","Yes"
"bioeco.gov","http://www.bioeco.gov","executive","Department of the Interior","No","No"
"bioethics.gov","http://bioethics.gov","executive","Department of Health And Human Services","No","No"
"biomassboard.gov","http://biomassboard.gov","executive","Department of Energy","No","No"
"biometrics.gov","http://biometrics.gov","executive","Department of Homeland Security","No","No"
"biopreferred.gov","https://www.biopreferred.gov","executive","Department of Agriculture","No","No"
"bja.gov","https://www.bja.gov","executive","Department of Justice","No","Yes"
"blm.gov","http://www.blm.gov","executive","Department of the Interior","No","No"
"bls.gov","http://www.bls.gov","executive","Department of Labor","No","Yes"
"bnl.gov","https://www.bnl.gov","executive","Department of Energy","No","No"
"boem.gov","http://www.boem.gov","executive","Department of the Interior","No","No"
"bondpro.gov","http://bondpro.gov","executive","Department of the Treasury","No","Yes"
"bop.gov","https://www.bop.gov","executive","Department of Justice","No","Yes"
"bosque.gov","http://bosque.gov","executive","Department of Agriculture","No","No"
"bpa.gov","https://www.bpa.gov","executive","Department of Energy","No","No"
"brac.gov","http://brac.gov","executive","Department of Defense","No","Yes"
"brc.gov","http://www.brc.gov","executive","Department of Energy","No","No"
"broadband.gov","http://www.broadband.gov","executive","Federal Communications Commission","No","No"
"broadbandmap.gov","http://broadbandmap.gov","executive","Federal Communications Commission","No","No"
"bsee.gov","https://www.bsee.gov","executive","Department of the Interior","No","No"
"buyaccessible.gov","https://buyaccessible.gov","executive","General Services Administration","No","Yes"
"buyusa.gov","http://buyusa.gov","executive","Department of Commerce","No","Yes"
"cancer.gov","https://www.cancer.gov","executive","Department of Health And Human Services","No","Yes"
"cao.gov","http://cao.gov","executive","General Services Administration","No","Yes"
"capitol.gov","http://capitol.gov","executive","Architect of the Capitol","No","No"
"capnhq.gov","https://www.capnhq.gov","executive","Civil Air Patrol","No","No"
"casl.gov","http://www.casl.gov","executive","Department of Energy","No","No"
"cbca.gov","http://cbca.gov","executive","General Services Administration","No","No"
"cbp.gov","https://www.cbp.gov","executive","Department of Commerce","No","Yes"
"ccac.gov","https://www.ccac.gov","executive","Department of the Treasury","No","No"
"cdc.gov","http://www.cdc.gov","executive","Department of Health And Human Services","No","Yes"
"cdfifund.gov","https://www.cdfifund.gov","executive","Department of the Treasury","No","No"
"cendi.gov","https://cendi.gov","executive","Department of Energy","No","No"
"census.gov","http://census.gov","executive","Department of Commerce","No","Yes"
"cep.gov","http://cep.gov","executive","Department of Commerce","No","No"
"cfa.gov","https://www.cfa.gov","executive","U.S. Commission of Fine Arts","No","No"
"cfda.gov","https://cfda.gov","executive","General Services Administration","No","Yes"
"cfo.gov","http://cfo.gov","executive","General Services Administration","No","Yes"
"cftc.gov","http://www.cftc.gov","executive","Commodity Futures Trading Commission","No","No"
"challenge.gov","https://www.challenge.gov","executive","General Services Administration","No","Yes"
"change.gov","http://change.gov","executive","Executive Office of the President","No","No"
"chcoc.gov","https://chcoc.gov","executive","Office of Personnel Management","No","No"
"childreninadversity.gov","https://www.childreninadversity.gov","executive","U.S. Agency for International Development","No","No"
"childstats.gov","http://www.childstats.gov","executive","Department of Education","No","Yes"
"childwelfare.gov","https://childwelfare.gov","executive","Department of Health And Human Services","No","No"
"choosemyplate.gov","https://www.choosemyplate.gov","executive","Department of Agriculture","No","Yes"
"christophercolumbusfoundation.gov","https://www.christophercolumbusfoundation.gov","executive","Christopher Columbus Fellowship Foundation","No","Yes"
"cia.gov","https://www.cia.gov","executive","Central Intelligence Agency","No","No"
"cio.gov","http://cio.gov","executive","General Services Administration","No","Yes"
"citizenscience.gov","https://www.citizenscience.gov","executive","General Services Administration","No","Yes"
"civilrightsusa.gov","http://civilrightsusa.gov","executive","Department of Commerce","No","No"
"cjis.gov","https://www.cjis.gov","executive","Department of Justice","No","No"
"climate.gov","https://www.climate.gov","executive","Department of Commerce","No","Yes"
"clinicaltrials.gov","https://clinicaltrials.gov","executive","Department of Health And Human Services","No","No"
"clintonlibrary.gov","https://www.clintonlibrary.gov","executive","National Archives and Records Administration","No","Yes"
"cloud.gov","https://cloud.gov","executive","General Services Administration","No","Yes"
"cms.gov","https://www.cms.gov","executive","Department of Health And Human Services","No","No"
"cmts.gov","http://www.cmts.gov","executive","Department of Defense","No","Yes"
"cncsoig.gov","http://www.cncsoig.gov","executive","Corporation for National & Community Service","No","No"
"cnss.gov","https://www.cnss.gov","executive","Department of Defense","No","Yes"
"coastalamerica.gov","http://coastalamerica.gov","executive","Department of Agriculture","No","Yes"
"code.gov","https://code.gov","executive","Executive Office of the President","No","Yes"
"collegedrinkingprevention.gov","http://collegedrinkingprevention.gov","executive","Department of Health And Human Services","No","No"
"commerce.gov","https://www.commerce.gov","executive","Department of Commerce","No","Yes"
"complaintreferralexpress.gov","https://www.complaintreferralexpress.gov","executive","Department of the Treasury","No","No"
"comptrollerofthecurrency.gov","http://comptrollerofthecurrency.gov","executive","Department of the Treasury","No","Yes"
"computersforlearning.gov","http://computersforlearning.gov","executive","General Services Administration","No","Yes"
"consumer.gov","https://www.consumer.gov","executive","Federal Trade Commission","No","Yes"
"consumerfinance.gov","http://www.consumerfinance.gov","executive","Consumer Financial Protection Bureau","No","Yes"
"consumidor.gov","https://www.consumidor.gov","executive","Federal Trade Commission","No","Yes"
"continentalshelf.gov","https://www.continentalshelf.gov","executive","Department of State","No","No"
"contractdirectory.gov","https://www.contractdirectory.gov","executive","General Services Administration","No","Yes"
"coralreef.gov","http://www.coralreef.gov","executive","Department of the Interior","No","Yes"
"cpars.gov","https://www.cpars.gov","executive","General Services Administration","No","Yes"
"cpnireporting.gov","https://www.cpnireporting.gov","executive","Department of Homeland Security","No","No"
"cpsc.gov","https://cpsc.gov","executive","Consumer Product Safety Commission","No","Yes"
"crimesolutions.gov","https://crimesolutions.gov","executive","Department of Justice","No","Yes"
"crt2014-2024review.gov","https://crt2014-2024review.gov","executive","Department of Energy","No","No"
"csb.gov","http://www.csb.gov","executive","U.S. Chemical Safety and Hazard Investigation Board","No","No"
"csosa.fed.us","http://www.csosa.fed.us","executive","Court Services and Offender Supervision","No","No"
"csosa.gov","http://www.csosa.gov","executive","Court Services and Offender Supervision","No","No"
"cttso.gov","http://cttso.gov","executive","Department of Defense","No","No"
"cuidadodesalud.gov","https://www.cuidadodesalud.gov","executive","Department of Health And Human Services","No","No"
"cupcao.gov","http://www.cupcao.gov","executive","Department of the Interior","No","No"
"cwc.gov","http://cwc.gov","executive","Department of State","No","Yes"
"data.gov","https://www.data.gov","executive","General Services Administration","No","Yes"
"dea.gov","https://www.dea.gov","executive","Department of Justice","No","Yes"
"deadiversion.gov","http://deadiversion.gov","executive","Department of Justice","No","No"
"deaecom.gov","https://www.deaecom.gov","executive","Department of Justice","No","No"
"defense.gov","http://www.defense.gov","executive","Department of Defense","No","Yes"
"denali.gov","http://denali.gov","executive","Denali Commission","No","No"
"dfafacts.gov","http://dfafacts.gov","executive","U.S. Agency for International Development","No","No"
"dhs.gov","https://www.dhs.gov","executive","Department of Homeland Security","No","Yes"
"digitalgov.gov","https://www.digitalgov.gov","executive","General Services Administration","No","Yes"
"digitalliteracy.gov","http://www.digitalliteracy.gov","executive","Department of Commerce","No","No"
"directoasucuenta.gov","https://www.directoasucuenta.gov","executive","Department of the Treasury","No","No"
"disability.gov","https://www.disability.gov","executive","Department of Labor","No","Yes"
"disasterassistance.gov","https://www.disasterassistance.gov","executive","Department of Homeland Security","No","Yes"
"disasterhousing.gov","http://disasterhousing.gov","executive","Department of Housing And Urban Development","No","No"
"distracteddriving.gov","http://www.distracteddriving.gov","executive","Department of Transportation","No","Yes"
"distraction.gov","http://www.distraction.gov","executive","Department of Transportation","No","Yes"
"dnfsb.gov","http://www.dnfsb.gov","executive","Defense Nuclear Facilities Safety Board","No","Yes"
"dni.gov","https://www.dni.gov","executive","Director of National Intelligence","No","No"
"dnsops.gov","https://dnsops.gov","executive","Department of Commerce","No","No"
"docline.gov","https://www.docline.gov","executive","Department of Health And Human Services","No","No"
"dod.gov","http://www.dod.gov","executive","Department of Defense","No","No"
"doi.gov","https://www.doi.gov","executive","Department of the Interior","No","Yes"
"doioig.gov","https://www.doioig.gov","executive","Department of the Interior","No","No"
"dol.gov","https://www.dol.gov","executive","Department of Labor","No","Yes"
"doleta.gov","https://doleta.gov","executive","Department of Labor","No","Yes"
"donaciondeorganos.gov","http://www.donaciondeorganos.gov","executive","Department of Health And Human Services","No","Yes"
"donotcall.gov","https://donotcall.gov","executive","Federal Trade Commission","No","Yes"
"dotgov.gov","https://www.dotgov.gov","executive","General Services Administration","No","Yes"
"dra.gov","http://dra.gov","executive","Delta Regional Authority","No","No"
"drought.gov","https://www.drought.gov","executive","Department of Commerce","No","Yes"
"drugabuse.gov","https://www.drugabuse.gov","executive","Department of Health And Human Services","No","Yes"
"dsac.gov","https://www.dsac.gov","executive","Department of Justice","No","No"
"eac.gov","https://www.eac.gov","executive","General Services Administration","No","Yes"
"economicinclusion.gov","https://economicinclusion.gov","executive","Federal Deposit Insurance Corporation","No","No"
"econsumer.gov","https://econsumer.gov","executive","Federal Trade Commission","No","Yes"
"ecopartnerships.gov","http://ecopartnerships.gov","executive","Department of State","No","No"
"ecpic.gov","https://www.ecpic.gov","executive","General Services Administration","No","Yes"
"ed.gov","http://ed.gov","executive","Department of Education","No","Yes"
"eda.gov","https://eda.gov","executive","Department of Commerce","No","Yes"
"edpubs.gov","https://edpubs.gov","executive","Department of Education","No","Yes"
"education.gov","http://education.gov","executive","Department of Education","No","Yes"
"eeoc.gov","https://www.eeoc.gov","executive","Equal Employment Opportunity Commission","No","No"
"eftps.gov","https://www.eftps.gov","executive","Department of the Treasury","No","No"
"eia.gov","http://www.eia.gov","executive","Department of Energy","No","No"
"eisenhowermemorial.gov","http://eisenhowermemorial.gov","executive","General Services Administration","No","Yes"
"eldercare.gov","http://www.eldercare.gov","executive","Department of Health And Human Services","No","No"
"employeeexpress.gov","https://www.employeeexpress.gov","executive","Office of Personnel Management","No","Yes"
"empowhr.gov","https://empowhr.gov","executive","Department of Agriculture","No","No"
"ems.gov","http://www.ems.gov","executive","Department of Transportation","No","Yes"
"endingthedocumentgame.gov","https://endingthedocumentgame.gov","executive","Department of Health And Human Services","No","No"
"energy.gov","http://energy.gov","executive","Department of Energy","No","Yes"
"energycodes.gov","https://www.energycodes.gov","executive","Department of Energy","No","No"
"energystar.gov","https://www.energystar.gov","executive","Environmental Protection Agency","No","Yes"
"epa.gov","https://www.epa.gov","executive","Environmental Protection Agency","No","Yes"
"epic.gov","https://www.epic.gov","executive","Department of Justice","No","No"
"esa.gov","http://esa.gov","executive","Department of Commerce","No","Yes"
"esc.gov","http://www.esc.gov","executive","Department of Transportation","No","No"
"esrs.gov","https://esrs.gov","executive","General Services Administration","No","Yes"
"eta-find.gov","https://www.eta-find.gov","executive","Department of the Treasury","No","No"
"ethicsburg.gov","http://www.ethicsburg.gov","executive","Department of the Treasury","No","No"
"evergladesrestoration.gov","http://evergladesrestoration.gov","executive","Department of the Interior","No","No"
"everykidinapark.gov","https://everykidinapark.gov","executive","General Services Administration","No","Yes"
"execsec.gov","http://www.execsec.gov","executive","Department of Agriculture","No","No"
"export.gov","https://www.export.gov","executive","Department of Commerce","No","Yes"
"eyenote.gov","http://eyenote.gov","executive","Department of the Treasury","No","No"
"faa.gov","http://www.faa.gov","executive","Department of Transportation","No","Yes"
"faasafety.gov","https://www.faasafety.gov","executive","Department of Transportation","No","No"
"facadatabase.gov","http://facadatabase.gov","executive","General Services Administration","No","Yes"
"fafsa.gov","https://fafsa.gov","executive","Department of Education","No","No"
"fai.gov","https://www.fai.gov","executive","General Services Administration","No","Yes"
"fan.gov","https://www.fan.gov","executive","Department of State","No","No"
"fapiis.gov","https://www.fapiis.gov","executive","General Services Administration","No","Yes"
"fara.gov","https://www.fara.gov","executive","Department of Justice","No","Yes"
"farmerclaims.gov","https://www.farmerclaims.gov","executive","Department of Agriculture","No","No"
"fatherhood.gov","https://www.fatherhood.gov","executive","Department of Health And Human Services","No","No"
"fbi.gov","https://www.fbi.gov","executive","Department of Justice","No","No"
"fbiic.gov","https://www.fbiic.gov","executive","Federal Reserve System","No","No"
"fbijobs.gov","https://fbijobs.gov","executive","Department of Justice","No","No"
"fbo.gov","https://www.fbo.gov","executive","General Services Administration","No","Yes"
"fca.gov","http://fca.gov","executive","Farm Credit Administration","No","No"
"fcc.gov","https://www.fcc.gov","executive","Federal Communications Commission","No","No"
"fcg.gov","https://www.fcg.gov","executive","Department of the Interior","No","No"
"fcsic.gov","http://fcsic.gov","executive","Farm Credit Administration","No","No"
"fda.gov","http://www.fda.gov","executive","Department of Health And Human Services","No","Yes"
"fdic.gov","https://fdic.gov","executive","Federal Deposit Insurance Corporation","No","No"
"fdicconnect.gov","http://www.fdicconnect.gov","executive","Federal Deposit Insurance Corporation","No","No"
"fdicig.gov","https://www.fdicig.gov","executive","Federal Deposit Insurance Corporation","No","No"
"fdicseguro.gov","https://fdicseguro.gov","executive","Federal Deposit Insurance Corporation","No","No"
"fea.gov","http://www.fea.gov","executive","Denali Commission","No","Yes"
"feb.gov","https://feb.gov","executive","Office of Personnel Management","No","Yes"
"fec.gov","http://fec.gov","executive","Federal Elections Commission","No","Yes"
"fedcenter.gov","https://www.fedcenter.gov","executive","Environmental Protection Agency","No","Yes"
"federalinvestments.gov","http://federalinvestments.gov","executive","Department of the Treasury","No","Yes"
"federalreserve.gov","http://www.federalreserve.gov","executive","Federal Reserve System","No","No"
"federalreserveconsumerhelp.gov","http://federalreserveconsumerhelp.gov","executive","Federal Reserve System","No","No"
"fedidcard.gov","http://fedidcard.gov","executive","General Services Administration","No","Yes"
"fedinvest.gov","http://fedinvest.gov","executive","Department of the Treasury","No","Yes"
"fedpartnership.gov","http://fedpartnership.gov","executive","Federal Reserve System","No","No"
"fedramp.gov","https://www.fedramp.gov","executive","General Services Administration","No","Yes"
"fedshirevets.gov","https://fedshirevets.gov","executive","Office of Personnel Management","No","Yes"
"feedthefuture.gov","https://feedthefuture.gov","executive","U.S. Agency for International Development","No","Yes"
"fema.gov","https://www.fema.gov","executive","Department of Homeland Security","No","Yes"
"femalefarmerclaims.gov","https://www.femalefarmerclaims.gov","executive","Department of Agriculture","No","No"
"ferc.gov","https://www.ferc.gov","executive","Federal Energy Regulatory Commission","No","Yes"
"fercalt.gov","http://fercalt.gov","executive","Federal Energy Regulatory Commission","No","No"
"ffiec.gov","https://www.ffiec.gov","executive","Federal Reserve System","No","No"
"fgdc.gov","https://fgdc.gov","executive","Department of the Interior","No","No"
"fhfa.gov","http://www.fhfa.gov","executive","Federal Housing Finance Agency","No","No"
"fhfaoig.gov","https://www.fhfaoig.gov","executive","Federal Housing Finance Agency Office of Inspector General","No","No"
"fido.gov","http://fido.gov","executive","General Services Administration","No","Yes"
"financialresearch.gov","https://www.financialresearch.gov","executive","Department of the Treasury","No","Yes"
"fincen.gov","https://www.fincen.gov","executive","Department of the Treasury","No","No"
"findyouthinfo.gov","http://findyouthinfo.gov","executive","Department of Health And Human Services","No","No"
"firecode.gov","http://www.firecode.gov","executive","Department of the Interior","No","No"
